"","Ancestor","Clan"
"729","modern Bacteria","PF06934"
"730","modern Bacteria","PF06938"
"731","modern Bacteria","PF06947"
"732","modern Bacteria","PF06949"
"733","modern Bacteria","PF06956"
"734","modern Bacteria","PF06967"
"735","modern Bacteria","PF06986"
"736","modern Bacteria","PF06988"
"737","modern Bacteria","PF06992"
"738","modern Bacteria","PF06995"
"739","modern Bacteria","PF07023"
"740","modern Bacteria","PF07072"
"741","modern Bacteria","PF07079"
"742","modern Bacteria","PF07130"
"743","modern Bacteria","PF07136"
"744","modern Bacteria","PF07146"
"745","modern Bacteria","PF07148"
"746","modern Bacteria","PF07178"
"747","modern Bacteria","PF07183"
"748","modern Bacteria","PF07187"
"749","modern Bacteria","PF07208"
"750","modern Bacteria","PF07226"
"751","modern Bacteria","PF07254"
"752","modern Bacteria","PF07261"
"753","modern Bacteria","PF07264"
"754","modern Bacteria","CL0648"
"755","modern Bacteria","PF07277"
"756","modern Bacteria","PF07284"
"757","modern Bacteria","PF07288"
"758","modern Bacteria","PF07293"
"759","modern Bacteria","PF07299"
"760","modern Bacteria","PF07309"
"761","modern Bacteria","PF07317"
"762","modern Bacteria","PF07319"
"763","modern Bacteria","PF07323"
"764","modern Bacteria","PF07330"
"765","modern Bacteria","PF07338"
"766","modern Bacteria","PF07345"
"767","modern Bacteria","PF07357"
"768","modern Bacteria","PF07361"
"769","modern Bacteria","PF07369"
"770","modern Bacteria","PF07370"
"771","modern Bacteria","PF07372"
"772","modern Bacteria","PF07378"
"773","modern Bacteria","PF07379"
"774","modern Bacteria","PF07383"
"775","modern Bacteria","PF07408"
"776","modern Bacteria","PF07409"
"777","modern Bacteria","PF07417"
"778","modern Bacteria","PF07423"
"779","modern Bacteria","CL0285"
"780","modern Bacteria","PF07441"
"781","modern Bacteria","PF07444"
"782","modern Bacteria","PF07445"
"783","modern Bacteria","PF07465"
"784","modern Bacteria","PF07466"
"785","modern Bacteria","PF07509"
"786","modern Bacteria","PF07516"
"787","modern Bacteria","PF07537"
"788","modern Bacteria","PF07542"
"789","modern Bacteria","PF07548"
"790","modern Bacteria","PF07552"
"791","modern Bacteria","PF07553"
"792","modern Bacteria","PF07560"
"793","modern Bacteria","PF07577"
"794","modern Bacteria","PF07579"
"795","modern Bacteria","PF07595"
"796","modern Bacteria","PF07596"
"797","modern Bacteria","PF07603"
"798","modern Bacteria","PF07613"
"799","modern Bacteria","PF07634"
"800","modern Bacteria","PF07639"
"801","modern Bacteria","PF07655"
"802","modern Bacteria","PF07666"
"803","modern Bacteria","PF07680"
"804","modern Bacteria","CL0637"
"805","modern Bacteria","PF07743"
"806","modern Bacteria","PF07756"
"807","modern Bacteria","PF07769"
"808","modern Bacteria","PF07793"
"809","modern Bacteria","PF07835"
"810","modern Bacteria","PF07845"
"811","modern Bacteria","PF07863"
"812","modern Bacteria","CL0703"
"813","modern Bacteria","PF07870"
"814","modern Bacteria","PF07872"
"815","modern Bacteria","PF07873"
"816","modern Bacteria","PF07879"
"817","modern Bacteria","PF07886"
"818","modern Bacteria","PF07892"
"819","modern Bacteria","PF07896"
"820","modern Bacteria","PF07916"
"821","modern Bacteria","PF07996"
"822","modern Bacteria","PF07997"
"823","modern Bacteria","PF08012"
"824","modern Bacteria","PF08041"
"825","modern Bacteria","PF08113"
"826","modern Bacteria","PF08173"
"827","modern Bacteria","PF08183"
"828","modern Bacteria","PF08230"
"829","modern Bacteria","PF08326"
"830","modern Bacteria","PF08341"
"831","modern Bacteria","PF08343"
"832","modern Bacteria","PF08354"
"833","modern Bacteria","PF08364"
"834","modern Bacteria","PF08468"
"835","modern Bacteria","PF08503"
"836","modern Bacteria","PF08525"
"837","modern Bacteria","PF08529"
"838","modern Bacteria","PF08664"
"839","modern Bacteria","PF08680"
"840","modern Bacteria","PF08741"
"841","modern Bacteria","PF08750"
"842","modern Bacteria","PF08755"
"843","modern Bacteria","PF08756"
"844","modern Bacteria","PF08796"
"845","modern Bacteria","PF08807"
"846","modern Bacteria","PF08809"
"847","modern Bacteria","PF08812"
